"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_IPL_WERT";"Y_IPL_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3016428";"16428";"";"Bahnhofstraße";"Bad Camberg Bahnhofstraße";"3447572";"5573731";"8,26319922071083";"50,2972483912041";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016430";"16430";"";"Rübsanger/Lindenstraße";"Limburg (Lahn)-Lindenholzhausen Rübsanger-/Lindenstraße";"3437511";"5583086";"8,12046047291391";"50,3803579904063";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Lindenholzhausen";"06";"5";"33";"009";"050"
"3016431";"16431";"";"Kirche";"Selters (Taunus)-Niederselters Kirche";"3444873";"5577979";"8,22470203258145";"50,3351878526624";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Niederselters";"06";"5";"33";"014";"040"
"3016434";"16434";"";"Taunusblick";"Selters (Taunus)-Eisenbach Taunusblick";"3446931";"5578241";"8,25356871613494";"50,3377322898198";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Eisenbach";"06";"5";"33";"014";"010"
"3016435";"16435";"";"Obergasse Dt. Haus";"Selters (Taunus)-Münster Obergasse Deutsches Haus";"3447867";"5581860";"8,26621342933456";"50,3703478173116";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Münster";"06";"5";"33";"014";"030"
"3016436";"16436";"";"Obergasse";"Selters (Taunus)-Münster Obergasse";"3448350";"5581987";"8,2729845199551";"50,3715321067944";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Münster";"06";"5";"33";"014";"030"
"3016437";"16437";"";"Schule Goldn. Grd.";"Selters (Taunus)-Niederselters Schule Gold. Grund";"3445832";"5578361";"8,23811572069591";"50,3387107971067";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Niederselters";"06";"5";"33";"014";"040"
"3016438";"16438";"";"Ferrutiusstraße";"Bad Camberg-Würges Ferrutiusstraße";"3448462";"5572136";"8,27590678113104";"50,2829890283939";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Würges";"06";"5";"33";"003";"060"
"3016439";"16439";"";"Frankfurter Straße";"Bad Camberg-Würges Frankfurter Straße";"3448671";"5572318";"8,27881414971055";"50,2846433253121";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Würges";"06";"5";"33";"003";"060"
"3016441";"16441";"";"Ost";"Selters (Taunus)-Münster Ost";"3448410";"5582024";"8,27382275844104";"50,3718699784022";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Münster";"06";"5";"33";"014";"030"
"3016442";"16442";"";"Faulbach";"Hadamar-Faulbach";"3433513";"5590514";"8,06294260599968";"50,4466865689062";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Hadamar";"Faulbach";"06";"5";"33";"007";"998"
"3016443";"16443";"";"Zeppelinstraße";"Limburg (Lahn) Zeppelinstraße";"3433542";"5582194";"8,06482506156737";"50,3719045163426";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Limburg a.d.Lahn";"06";"5";"33";"009";"040"
"3016446";"16446";"";"Alte Schule";"Limburg (Lahn)-Linter Alte Schule";"3435490";"5581564";"8,09231188968655";"50,3664586639945";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Linter";"06";"5";"33";"009";"060"
"3016447";"16447";"";"Siedlerhof";"Limburg (Lahn)-Linter Siedlerhof";"3436315";"5580630";"8,10406398550992";"50,3581530973157";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Linter";"06";"5";"33";"009";"060"
"3016448";"16448";"";"Am Friedhof";"Hünfelden-Mensfelden Am Friedhof";"3436637";"5579316";"8,10880963353984";"50,3463765750696";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Hünfelden";"Mensfelden";"06";"5";"33";"008";"040"
"3016449";"16449";"";"Sonntagstraße";"Hünfelden-Mensfelden Sonntagstraße";"3436371";"5578855";"8,10515097425537";"50,3422040100689";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Hünfelden";"Mensfelden";"06";"5";"33";"008";"040"
